annyeong	안녕
sel	셀
sem	셈
sep	셉
seng	셍
syeok	셕
syeon	션
syeot	셛
syeol	셜
syeom	셤
syeop	셥
syeong	셩
syek	셱
syen	셴
syet	셷
syel	셸
syem	솀
syep	솁
syeng	솅
sok	속
son	손
sot	솓
sol	솔
som	솜
sop	솝
song	송
swak	솩
swan	솬
swat	솯
swal	솰
swam	솸
swap	솹
swang	솽
swaek	쇅
swaen	쇈
swaet	쇋
swael	쇌
swaem	쇔
swaep	쇕
swaeng	쇙
soek	쇡
soen	쇤
soet	쇧
soel	쇨
soem	쇰
soep	쇱
soeng	쇵
syok	쇽
syon	숀
syot	숃
syol	숄
syom	숌
syop	숍
syong	숑
suk	숙
sun	순
sut	숟
sul	술
sum	숨
sup	숩
sung	숭
swok	숵
swon	숸
swot	숻
swol	숼
swom	쉄
swop	쉅
swong	쉉
swek	쉑
swen	쉔
swet	쉗
swel	쉘
swem	쉠
swep	쉡
sweng	쉥
swik	쉭
swin	쉰
swit	쉳
swil	쉴
swim	쉼
swip	쉽
swing	슁
syuk	슉
syun	슌
syut	슏
syul	슐
syum	슘
syup	슙
syung	슝
seuk	슥
seun	슨
seut	슫
seul	슬
seum	슴
seup	습
seung	승
suik	싁
suin	싄
suit	싇
suil	싈
suim	싐
suip	싑
suing	싕
sik	식
sin	신
sit	싣
sil	실
sim	심
sip	십
sing	싱
ssak	싹
ssan	싼
ssat	싿
ssal	쌀
ssam	쌈
ssap	쌉
ssang	쌍
ssaek	쌕
ssaen	쌘
